Price,Lat,Lng,Type,Floors,Building,Rooms,Floor,Area
3500.0,56.365696,43.82025,Resale,9,Brick,3,4,60.0
4000.0,56.3230570451,44.007861588699996,Resale,3,Brick,3,3,57.0
2150.0,56.267552,43.892107,Resale,5,Panel,2,1,38.0
3100.0,56.359963,43.813756,Resale,5,Panel,4,2,59.0
3585.0,56.325374,43.937463,Resale,9,Panel,2,7,52.5
2380.0,56.36802700000001,43.818317,Resale,9,Brick,2,7,46.0
1500.0,56.346895999999994,43.802428000000006,Resale,5,Panel,1,2,28.0
1669.0,56.283915,44.082083000000004,New,7,Block,1,5,33.0
3800.0,56.366988,43.809653000000004,New,14,Monolithic,2,2,73.0
6800.0,56.35001800000001,43.852357,Resale,12,Brick,3,4,86.0
6800.0,56.30637700000001,43.995808000000004,Resale,17,Brick,2,12,78.0
1900.0,56.334837,43.842008,Resale,9,Brick,1,6,30.3
2300.0,56.313897999999995,43.994802,Resale,2,Brick,2,2,37.0
850.0,56.326887,44.005977,Resale,2,Brick,3,2,60.0
3800.0,56.29934100000001,44.060155,Resale,9,Panel,3,1,67.0
2000.0,56.233293999999994,43.857073,Resale,5,Panel,1,1,30.0
3000.0,56.36145,43.818687,Resale,9,Brick,3,9,60.0
2000.0,56.288123999999996,43.876995,Resale,2,Brick,2,1,38.0
2650.0,56.35993199999999,43.819813,Resale,9,Brick,2,5,44.0
2600.0,56.360946999999996,43.822136,Resale,9,Brick,2,6,58.0
3050.0,56.350306999999994,43.85119,Resale,2,Brick,4,2,63.0
2200.0,56.326885,44.005984999999995,Resale,10,Brick,1,1,34.0
2750.0,56.304076,44.044039,Resale,5,Panel,2,2,49.0
2600.0,56.36476517,43.82760620000001,Resale,5,Brick,3,5,60.0
2720.0,56.317053,44.033457,Resale,9,Brick,1,7,35.8
2000.0,56.378818,43.787759,Resale,3,Brick,2,2,40.0
2390.0,56.324616000000006,43.917637,Resale,5,Brick,2,5,46.0
3380.0,56.341328000000004,43.953174,Resale,17,Block,1,6,45.0
2750.0,56.25918299999999,43.980474,Resale,11,Brick,1,10,40.0
1750.0,56.366988,43.809653000000004,New,14,Block,1,7,35.0
2350.0,56.260630000000006,43.89154,Resale,9,Brick,2,6,38.1
1980.0,56.28243000000001,43.93247,Resale,5,Brick,2,4,40.8
1770.0,56.32329300000001,43.868697,Resale,2,Block,2,2,40.0
7800.0,56.275468999999994,44.00197100000001,Resale,3,Brick,4,1,170.0
1650.0,56.280246999999996,43.951629,Resale,9,Brick,1,4,32.0
9000.0,56.26374200000001,44.090841,Resale,6,Brick,3,5,80.0
1900.0,56.2840803491,43.9051614667,Resale,5,Brick,2,1,46.0
2100.0,56.35314,43.866398,Resale,5,Brick,1,4,31.0
2100.0,56.247145999999994,43.825084000000004,Resale,5,Brick,2,2,38.5
3500.0,56.304086,44.076153999999995,Resale,8,Brick,1,3,40.0
850.0,56.290624,43.991398,Resale,5,Brick,1,3,17.0
2600.0,56.291698,44.042889,Resale,5,Brick,2,1,42.0
2530.0,56.280292,43.91788,Resale,5,Panel,2,4,45.0
2460.0,56.255362,43.970099,Resale,5,Brick,2,4,41.0
2400.0,56.324463,44.001888,Resale,5,Brick,2,5,45.0
4600.0,56.21791500000001,43.83773,Resale,12,Brick,4,1,86.0
4200.0,56.301869999999994,44.07364000000001,Resale,9,Brick,1,5,43.0
2550.0,56.346452,43.80162,Resale,5,Brick,3,4,60.0
1850.0,56.231198,43.822092,Resale,9,Panel,1,7,35.0
2610.0,56.332975,43.941308,Resale,12,Brick,2,3,42.0
4100.0,56.3229352664,44.008701808599994,Resale,9,Panel,3,6,66.0
2600.0,56.229561,43.87880300000001,Resale,9,Panel,2,8,58.0
4500.0,56.289017,44.055122,Resale,2,Brick,2,2,95.0
2350.0,56.238342,43.828759999999996,Resale,10,Brick,1,9,31.0
2800.0,56.232648253,43.968995643,New,10,Brick,1,1,39.3
2850.0,56.23421,43.947334999999995,Resale,9,Panel,2,9,45.0
1200.0,56.23055600000001,43.836052,Resale,2,Brick,1,1,26.0
4169.9,56.267162,44.023533,Resale,17,Brick,2,12,64.0
1200.0,56.280092,43.935451,Resale,5,Brick,1,3,19.0
2500.0,56.277618000000004,43.987481,Resale,5,Brick,1,5,38.0
3100.0,56.293027,44.038056,Resale,5,Brick,2,4,43.0
4800.0,56.255352,43.970099,Resale,9,Brick,3,7,65.0
1610.0,56.303346999999995,43.882998,Resale,5,Brick,2,5,42.0
2800.0,56.2382,43.955116,Resale,25,Brick,1,13,27.0
3500.0,56.289809999999996,43.85699,Resale,9,Brick,2,9,52.0
4430.0,56.314432,44.046438,Resale,9,Brick,4,9,74.0
1800.0,56.29861999999999,44.001026,Resale,2,Brick,2,1,47.0
3460.0,56.33058000000001,43.881794,Resale,5,Brick,3,5,57.0
1500.0,56.383198,43.78944,Resale,2,Brick,2,1,31.7
2000.0,56.26039124,43.84637451,Resale,9,Brick,1,5,32.7
1700.0,56.269086,43.870125,Resale,9,Brick,1,5,30.0
1800.0,56.298662,43.937238,Resale,5,Brick,1,4,30.0
1500.0,56.228313,43.857082,Resale,2,Brick,2,1,38.0
2200.0,56.237272,43.841262,Resale,10,Panel,1,6,30.0
3550.0,56.231747,43.94569,Resale,12,Brick,2,3,56.0
4100.0,56.324236,43.93033,New,19,Monolithic,3,8,61.9
2250.0,56.320273,43.927438,Resale,5,Brick,2,3,44.5
2280.0,56.293606000000004,43.984276,Resale,5,Brick,1,4,31.0
3000.0,56.3126,43.976620000000004,Resale,3,Brick,3,1,46.0
2850.0,56.30214691,44.04074097,Resale,5,Brick,3,4,60.0
5100.0,56.34673691,43.93780518,Resale,16,Brick,4,10,73.0
3500.0,56.22784,43.945853,Resale,9,Panel,3,9,64.0
4000.0,56.264106999999996,43.977195,Resale,9,Brick,3,2,62.0
2700.0,56.258373,43.866882000000004,Resale,5,Brick,3,5,63.0
4650.0,56.237221999999996,43.966829,Resale,10,Brick,3,1,74.0
1350.0,56.307930000000006,43.84532,Resale,2,Brick,1,1,33.0
2300.0,56.321701000000004,44.021797,Resale,5,Brick,1,5,31.0
2100.0,56.284969,44.043949,Resale,5,Panel,1,4,32.0
2150.0,56.313697999999995,43.933438,Resale,5,Brick,2,4,45.0
2000.0,56.246141,43.862049,Resale,5,Brick,1,1,35.0
2650.0,56.3123642205,44.0738138307,Resale,9,Brick,1,5,33.0
1760.0,56.191188000000004,43.8588724577,Resale,3,Monolithic,1,2,32.0
4300.0,56.288123999999996,43.876995,Resale,5,Brick,3,1,55.7
1752.0,56.34082900000001,43.910064,New,10,Panel,1,9,29.7
1970.0,56.2979531267,44.0432474837,Resale,5,Panel,1,2,33.0
1600.0,56.23236800000001,43.870601,Resale,5,Panel,1,1,32.0
2500.0,56.293737,44.051244,Resale,5,Brick,2,1,44.0
2550.0,56.33801500000001,43.914718,Resale,10,Panel,1,9,36.0
1490.0,56.340585,43.829809000000004,Resale,9,Brick,1,2,29.0
2300.0,56.239697,43.962579999999996,Resale,5,Brick,1,4,31.0
2280.0,56.291714,44.005833,Resale,5,Brick,1,4,31.1
2300.0,56.30255699999999,44.036421000000004,Resale,9,Panel,1,8,33.0
2450.0,56.36497900000001,43.828829999999996,Resale,3,Brick,2,3,46.0
6000.0,56.316069999999996,44.000228,Resale,9,Brick,3,9,66.0
2500.0,56.290583999999996,43.931175,Resale,5,Brick,1,5,30.0
2400.0,56.257248,43.882847,Resale,5,Brick,3,1,61.5
2450.0,56.223296,43.95198,Resale,10,Panel,1,7,31.0
3700.0,56.30490500000001,43.935062,Resale,10,Brick,1,6,37.0
5000.0,56.307716000000006,44.028974,Resale,9,Brick,2,5,60.0
